run,branch,planning_ms,execution_ms
1,karticam_aarryas/lip,4.140,22725.777
2,karticam_aarryas/lip,0.471,22239.965
3,karticam_aarryas/lip,0.411,22760.845
4,karticam_aarryas/lip,0.412,22737.135
5,karticam_aarryas/lip,0.436,22484.106
6,karticam_aarryas/lip,0.412,22355.250
7,karticam_aarryas/lip,0.415,22062.206
8,karticam_aarryas/lip,0.424,22544.906
9,karticam_aarryas/lip,0.428,23067.233
10,karticam_aarryas/lip,0.418,22444.844
1,cp1,7.276,18842.102
2,cp1,0.434,18986.038
3,cp1,0.435,19124.651
4,cp1,0.420,19479.324
5,cp1,0.437,18956.818
6,cp1,0.412,18702.552
7,cp1,0.426,18806.508
8,cp1,0.406,18839.600
9,cp1,0.451,20388.751
10,cp1,0.432,20563.244
